Date,Non-store retailing,Textiles clothing and footwear stores,All retailing,Household goods stores,Predominantly food stores,Other stores,Data Type
18-Mar,81.3,17,18,13.4,5.6,10.3,in %
18-Apr,79.5,17.3,17.5,11.8,5.6,10.2,in %
18-May,80.6,17.5,18.1,11.9,5.7,10.8,in %
18-Jun,79.7,17.2,18,12.5,5.7,11.1,in %
18-Jul,80.4,17.3,18.1,12.6,5.6,10.3,in %
18-Aug,79.3,17.7,18.1,13.8,5.5,9.6,in %
18-Sep,79.3,18.4,18.2,13.5,5.4,10.3,in %
18-Oct,79.3,18,18.3,14.1,5.5,11.1,in %
18-Nov,80,18.2,18.5,13.6,5.6,10.2,in %
18-Dec,80.3,18,18.4,13.5,5.6,10.9,in %
19-Jan,81.7,17.8,18.7,13.6,5.3,10.5,in %
19-Feb,79.6,17.5,18.9,14,5.4,12.1,in %
19-Mar,82.8,17.8,19.3,13,5.3,11.5,in %
19-Apr,78.5,18.6,19.1,14.2,5.5,12,in %
19-May,80.9,18.4,19.1,13.9,5.4,11.2,in %
19-Jun,76.2,19.2,18.5,14.1,5.2,10.7,in %
19-Jul,79.8,19,19.7,14,5.5,11.5,in %
19-Aug,80.1,18.5,19.6,14.5,5.8,11.1,in %
19-Sep,78.9,19,19.3,15.4,5.6,10.3,in %
19-Oct,79.8,18.5,19.3,16.4,5.5,10.8,in %
19-Nov,79.5,18.1,19,14.9,5.3,11.5,in %
19-Dec,78.8,18.3,19.4,15.7,5.1,12.2,in %
20-Jan,82.7,18,19.5,14.1,5.2,12.1,in %
20-Feb,83.5,20.5,20,14.6,5.3,12.8,in %
20-Mar,85.9,27.6,23.1,22.6,5.7,17.8,in %
20-Apr,76.6,50.1,31.4,60.9,9.4,42.5,in %
20-May,78.7,49.5,34.1,46,11.1,47.7,in %
20-Jun,79.1,40.1,31.9,31.7,10.9,28.2,in %
20-Jul,80.9,31.8,29.6,23.7,10.9,24.2,in %
20-Aug,83.4,29.7,28.8,24.2,10.5,20.4,in %
20-Sep,83.1,29,28.3,23.3,10.3,19,in %
20-Oct,83.8,29.7,29.2,23.9,10.5,19.9,in %
20-Nov,82.6,41.8,32,28.6,10.5,27.8,in %
20-Dec,79.3,32.4,29.8,21.4,11.2,22.9,in %
21-Jan,83,50.8,35.3,32.6,12.1,39.1,in %
21-Feb,85,59.5,36.2,38.5,11.9,40.1,in %
21-Mar,83.2,55.7,34.7,36.7,11.7,35.6,in %
